"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country"
"647",2009,"Mercedes-Benz","CLS63 AMG","Compact Cars",6.2,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,18,14,93,13," Germany"
"648",2009,"Bentley","Continental Flying Spur","Midsize Cars",6,"Automatic (S6)","12","4-Wheel or All-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,17,12,102,13," Germany"
"649",2009,"Cadillac","STS-V","Midsize Cars",4.4,"Automatic (S6)","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,13,19,15,102,14," United States"
"650",2009,"Cadillac","Funeral Coach / Hearse","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,12,16,14,NA,NA," United States"
"651",2009,"Cadillac","Limousine","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,12,18,14,NA,NA," United States"
"652",2009,"Maserati","Quattroporte","Large Cars",4.2,"Automatic 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,18,14,121,8," Italy/ United States"
"653",2009,"Mercedes-Benz","S600","Large Cars",5.5,"Automatic 5-spd","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,11,17,13,109,16," Germany"
"654",2009,"Mercedes-Benz","S63 AMG","Large Cars",6.2,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,17,13,109,16," Germany"
"655",2009,"Mercedes-Benz","S65 AMG","Large Cars",6,"Automatic (S5)","12","Rear-Wheel Drive","Premium",TRUE,FALSE,TRUE,11,17,13,109,16," Germany"
"656",2009,"Aston Martin","DBS Coupe","Two Seaters",5.9,"Automatic (S6)","12","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,18,14,NA,NA," United Kingdom"
"657",2009,"Ferrari","F430","Two Seaters",4.3,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,16,13,NA,NA," Italy/ United States"
"658",2009,"Ferrari","F430","Two Seaters",4.3,"Automatic 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,16,13,NA,NA," Italy/ United States"
"659",2009,"Ferrari","599 GTB Fiorano","Two Seaters",5.9,"Manual 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,15,12,NA,NA," Italy/ United States"
"660",2009,"Ferrari","599 GTB Fiorano","Two Seaters",5.9,"Automatic 6-spd","12","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,11,15,12,NA,NA," Italy/ United States"
"661",2009,"Lamborghini","Gallardo Coupe","Two Seaters",5.2,"Manual 6-spd","10","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,20,15,NA,NA," Germany"
"662",2009,"Lamborghini","Gallardo Coupe","Two Seaters",5.2,"Automatic (S6)","10","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,20,16,NA,NA," Germany"
"663",2009,"Lamborghini","Gallardo Spyder","Two Seaters",5.2,"Manual 6-spd","10","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,12,20,14,NA,NA," Germany"
"664",2009,"Lamborghini","Gallardo Spyder","Two Seaters",5.2,"Automatic (S6)","10","4-Wheel or All-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,20,16,NA,NA," Germany"
"665",2009,"Mercedes-Benz","SLK55 AMG","Two Seaters",5.4,"Automatic (S7)","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,22,17,49,7," Germany"
